	atlas	data	contrast	participants	lssxppi	lsaxppi	lsaxlss	corr_t	corr_p
0	activation	real	dualxsingle	filtered	0.5663914193509006	0.22017502114050963	0.30851437757704564	5.044984405960648	9.901023771963224e-07
1	activation	null	dualxsingle	filtered	0.7004751795547102	0.42297513233438133	0.4332568341530257	5.1668683926188095	5.586027942428018e-07
2	activation	real	repeatxsingle	filtered	0.5616752375331604	0.2293498264374557	0.31260691386866934	4.842234072350901	2.5102413905297993e-06
3	activation	null	repeatxsingle	filtered	0.6931756556430394	0.39759458753962224	0.440005999220102	5.463553566189601	1.3324916836587875e-07
4	activation	real	switchxrepeat	filtered	0.470839592019816	0.22671905733545095	0.29343153093272467	3.317921848270919	0.0010713008194676021
5	activation	null	switchxrepeat	filtered	0.43974040503592815	0.2503555527791637	0.2444215153802177	2.4598373812650154	0.01471981374057063
6	schaeferbest	real	dualxsingle	filtered	0.5908847822684118	0.31476519351913274	0.5147893210250043	4.695133852737244	5.141917876150259e-06
7	schaefer	real	dualxsingle	filtered	0.5781252201151343	0.2660444906243355	0.37685651013772575	95.19139805403384	0.0
8	schaeferbest	null	dualxsingle	filtered	0.6045657368381686	0.2704169585530523	0.27815947089523085	4.6748981371524305	5.617093622456437e-06
9	schaefer	null	dualxsingle	filtered	0.6868497972377219	0.42036583909457514	0.4681515757903786	98.84515175572162	0.0
10	schaeferbest	real	repeatxsingle	filtered	0.6728839370867374	0.42064283730168317	0.5271235252073482	4.727675438023071	4.458066956702922e-06
11	schaefer	real	repeatxsingle	filtered	0.6187945610704777	0.27008729595180514	0.3622034498188973	108.66836661885198	0.0
12	schaeferbest	null	repeatxsingle	filtered	0.6920189159872645	0.23725041837348895	0.13824622189325667	6.272384237332706	2.4075736959616734e-09
13	schaefer	null	repeatxsingle	filtered	0.7036685482797511	0.4164827400954481	0.46921820953561	108.62992008742788	0.0
14	schaeferbest	real	switchxrepeat	filtered	0.17256220920469822	0.2258353096392417	0.25164114159094336	-0.6130444404644837	0.5405918263407865
15	schaefer	real	switchxrepeat	filtered	0.3902049531226905	0.16837529851381478	0.30009307374888206	57.12724113164719	0.0
16	schaeferbest	null	switchxrepeat	filtered	0.351982978333578	0.19022264254300528	0.20114674919297942	1.8649372225723173	0.06375693099804591
17	schaefer	null	switchxrepeat	filtered	0.4138741957988597	0.2655051739835855	0.2850016551868661	38.51793991503091	0.0
